project,genome,file_accession,type,output_type,replicates,pipe,Target,Biosample
ENCSR000DZZ,GRCh38,ENCFF099PYR,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,TBP,GM12878
ENCSR000EBQ,GRCh38,ENCFF749UPP,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,BACH1,H1
ENCSR000EBR,GRCh38,ENCFF727RNJ,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,MXI1,H1
ENCSR000EBS,GRCh38,ENCFF710YJK,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,MAFK,H1
ENCSR000EBV,GRCh38,ENCFF823KCM,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,CEBPB,H1
ENCSR000EBW,GRCh38,ENCFF235ROG,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ZNF143,H1
ENCSR000EBY,GRCh38,ENCFF270GMO,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,MYC,H1
ENCSR000ECA,GRCh38,ENCFF821GUI,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,JUN,H1
ENCSR000ECB,GRCh38,ENCFF817TGF,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,TBP,H1
ENCSR000ECC,GRCh38,ENCFF414RES,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,NRF1,H1
ENCSR000ECD,GRCh38,ENCFF346KIW,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,USF2,H1
ENCSR000ECF,GRCh38,ENCFF142NQQ,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,RFX5,H1
ENCSR000ECI,GRCh38,ENCFF279OML,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ELK1,HeLa-S3
ENCSR000ECJ,GRCh38,ENCFF945JJR,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ZKSCAN1,HeLa-S3
ENCSR000ECK,GRCh38,ENCFF425IRA,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,MAFK,HeLa-S3
ENCSR000ECL,GRCh38,ENCFF424JHD,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,MAZ,HeLa-S3
ENCSR000ECM,GRCh38,ENCFF753CEB,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,RCOR1,HeLa-S3
ENCSR000ECN,GRCh38,ENCFF666XCS,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,MAX,HeLa-S3
ENCSR000ECO,GRCh38,ENCFF236NLF,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ZNF143,HeLa-S3
ENCSR000ECU,GRCh38,ENCFF420AQP,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,MXI1,HeLa-S3
ENCSR000ECV,GRCh38,ENCFF631WOD,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,EP300,HeLa-S3
ENCSR000ECW,GRCh38,ENCFF405SDO,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,USF2,HeLa-S3
ENCSR000ECX,GRCh38,ENCFF438ZEN,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,RFX5,HeLa-S3
ENCSR000ECY,GRCh38,ENCFF721NYV,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,PRDM1,HeLa-S3
ENCSR000EDA,GRCh38,ENCFF014TJO,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,CEBPB,HeLa-S3
ENCSR000EDC,GRCh38,ENCFF746VUX,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,STAT3,HeLa-S3
ENCSR000EDD,GRCh38,ENCFF363NQY,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,TBP,HeLa-S3
ENCSR000EDF,GRCh38,ENCFF291VFT,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,IRF3,HeLa-S3
ENCSR000EDG,GRCh38,ENCFF806AQE,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,JUN,HeLa-S3
ENCSR000EDH,GRCh38,ENCFF995QMN,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,JUND,HeLa-S3
ENCSR000EDJ,GRCh38,ENCFF730BLH,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,NRF1,HeLa-S3
ENCSR000EDN,GRCh38,ENCFF086ZTC,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,MAZ,HepG2
ENCSR000EDO,GRCh38,ENCFF250DNU,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,CEBPZ,HepG2
ENCSR000EDP,GRCh38,ENCFF536DJU,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ARID3A,HepG2
ENCSR000EDQ,GRCh38,ENCFF022KBD,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,RCOR1,HepG2
ENCSR000EDU,GRCh38,ENCFF599KZZ,bed narrowPeak,IDR thresholded peaks,"1, 2, 3",ENCODE4,MXI1,HepG2
ENCSR000EDZ,GRCh38,ENCFF065KFR,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,MAFK,HepG2
ENCSR000EEA,GRCh38,ENCFF141FYD,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,RFX5,HepG2
ENCSR000EEC,GRCh38,ENCFF005YUC,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,MAFF,HepG2
ENCSR000EEF,GRCh38,ENCFF652ELW,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,USF2,HepG2
ENCSR000EEH,GRCh38,ENCFF982PLG,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,NRF1,HepG2
ENCSR000EEJ,GRCh38,ENCFF619GRL,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,IRF3,HepG2
ENCSR000EEK,GRCh38,ENCFF079UOJ,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,JUN,HepG2
ENCSR000EEL,GRCh38,ENCFF198GZQ,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,TBP,HepG2
ENCSR000EFO,GRCh38,ENCFF838GFC,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,CUX1,K562
ENCSR000EFP,GRCh38,ENCFF864XZP,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ZNF384,K562
ENCSR000EFQ,GRCh38,ENCFF881DAT,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ZMIZ1,K562
ENCSR000EFS,GRCh38,ENCFF190CGV,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,JUN,K562
ENCSR000EFT,GRCh38,ENCFF657CTC,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,GATA1,K562
ENCSR000EFU,GRCh38,ENCFF715WGN,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ELK1,K562
ENCSR000EFW,GRCh38,ENCFF568ZPW,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,UBTF,K562
ENCSR000EFX,GRCh38,ENCFF837NNR,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,MAZ,K562
ENCSR000EFY,GRCh38,ENCFF891OQP,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ARID3A,K562
ENCSR000EGC,GRCh38,ENCFF224YBQ,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,RCOR1,K562
ENCSR000EGD,GRCh38,ENCFF026BDA,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,BACH1,K562
ENCSR000EGE,GRCh38,ENCFF702XPO,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,EP300,K562
ENCSR000EGI,GRCh38,ENCFF119AHD,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,MAFF,K562
ENCSR000EGO,GRCh38,ENCFF661EUX,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,RFX5,K562
ENCSR000EGP,GRCh38,ENCFF540TWL,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ZNF143,K562
ENCSR000EGQ,GRCh38,ENCFF718ZFY,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,NFYB,K562
ENCSR000EGR,GRCh38,ENCFF908HSL,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,NFYA,K562
ENCSR000EGV,GRCh38,ENCFF154IVU,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,BHLHE40,K562
ENCSR000EGX,GRCh38,ENCFF439TJM,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,MAFK,K562
ENCSR000EGZ,GRCh38,ENCFF068IGH,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,MXI1,K562
ENCSR000EHG,GRCh38,ENCFF744HVD,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,USF2,K562
ENCSR000EHH,GRCh38,ENCFF410RJD,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,NRF1,K562
ENCSR000EHY,GRCh38,ENCFF765QVM,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,RFX5,SK-N-SH
ENCSR000EHZ,GRCh38,ENCFF991VQX,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,NRF1,SK-N-SH
ENCSR000EIA,GRCh38,ENCFF064KLD,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,MXI1,SK-N-SH
ENCSR000EIC,GRCh38,ENCFF608JKY,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,CTCF,SK-N-SH
ENCSR000EUJ,GRCh38,ENCFF432HLX,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,IKZF1,GM12878
ENCSR000EUL,GRCh38,ENCFF782KRV,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,NR2C2,GM12878
ENCSR000EUN,GRCh38,ENCFF718OGI,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ZNF274,H1
ENCSR000EUY,GRCh38,ENCFF136SOA,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,TCF7L2,HEK293
ENCSR000EUZ,GRCh38,ENCFF032VPU,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,TRIM28,HEK293
ENCSR000EVB,GRCh38,ENCFF226QHL,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ELK4,HEK293
ENCSR000EVD,GRCh38,ENCFF108NXV,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ZNF263,HEK293
ENCSR000EVE,GRCh38,ENCFF936XIP,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,TCF7L2,HeLa-S3
ENCSR000EVG,GRCh38,ENCFF546RIC,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ZNF274,HeLa-S3
ENCSR000EVI,GRCh38,ENCFF582BHA,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ELK4,HeLa-S3
ENCSR000EVJ,GRCh38,ENCFF399JUZ,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,E2F1,HeLa-S3
ENCSR000EVK,GRCh38,ENCFF160MCO,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,E2F6,HeLa-S3
ENCSR000EVL,GRCh38,ENCFF718JTU,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,E2F4,HeLa-S3
ENCSR000EVN,GRCh38,ENCFF703LZR,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,NR2C2,HeLa-S3
ENCSR000EVQ,GRCh38,ENCFF361NJR,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,TCF7L2,HepG2
ENCSR000EVR,GRCh38,ENCFF362PMI,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ZNF274,HepG2
ENCSR000EVS,GRCh38,ENCFF760KQS,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,NR2C2,HepG2
ENCSR000EVX,GRCh38,ENCFF045CFL,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ZNF274,K562
ENCSR000EWH,GRCh38,ENCFF230UNT,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,NR2C2,K562
ENCSR000EWL,GRCh38,ENCFF064CWA,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,E2F4,K562
ENCSR000EWN,GRCh38,ENCFF264BDD,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ZNF263,K562
ENCSR000EWT,GRCh38,ENCFF332AZX,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,TCF7L2,MCF-7
ENCSR000EWU,GRCh38,ENCFF083LCM,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ZNF217,MCF-7
ENCSR000EWX,GRCh38,ENCFF115KRO,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,E2F1,MCF-7
ENCSR000EYZ,GRCh38,ENCFF571DGT,bed narrowPeak,IDR thresholded peaks,"1, 2, 3",ENCODE4,FOS,GM12878
ENCSR000EZE,GRCh38,ENCFF494YNM,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,FOS,HeLa-S3
ENCSR000FAF,GRCh38,ENCFF453GKK,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,NFE2,K562
ENCSR000FAI,GRCh38,ENCFF258PLH,bed narrowPeak,IDR thresholded peaks,"1, 2, 3",ENCODE4,FOS,K562
ENCSR000FCB,GRCh38,ENCFF605XYC,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,MITF,K562
ENCSR000FCD,GRCh38,ENCFF971YTJ,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,SMAD5,K562
ENCSR000FCE,GRCh38,ENCFF965PER,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ETV6,K562
ENCSR000FCI,GRCh38,ENCFF428SMH,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ZNF274,HEK293
ENCSR002ZGC,GRCh38,ENCFF435MHH,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ZNF212,K562
ENCSR003GUC,GRCh38,ENCFF439KTZ,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,E4F1,K562
ENCSR004GKA,GRCh38,ENCFF242AOL,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ZEB2,K562
ENCSR004HEA,GRCh38,ENCFF661XFG,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,OTX2,WTC11
ENCSR004PLU,GRCh38,ENCFF890FAV,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ZBTB10,HEK293
ENCSR005GZH,GRCh38,ENCFF206KPV,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,SMAD3,HepG2
ENCSR005NMT,GRCh38,ENCFF375SIS,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ID3,K562
ENCSR005WGY,GRCh38,ENCFF447BWR,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ZNF407,HepG2
ENCSR006GAQ,GRCh38,ENCFF223GQC,bed narrowPeak,IDR thresholded peaks,"2, 3",ENCODE4,KLF10,HEK293
ENCSR006WUS,GRCh38,ENCFF796KBR,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,NEUROD1,MCF-7
ENCSR008DOU,GRCh38,ENCFF656THP,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,SNAPC5,K562
ENCSR008LHT,GRCh38,ENCFF316TWM,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ISL1,SK-N-SH
ENCSR009KLQ,GRCh38,ENCFF257BGF,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,KLF16,HepG2
ENCSR009LIA,GRCh38,ENCFF321MKV,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ZNF10,HepG2
ENCSR009MBP,GRCh38,ENCFF663ODL,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,HSF1,GM12878
ENCSR009TKN,GRCh38,ENCFF089QMG,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,RCOR1,SK-N-SH
ENCSR011CIR,GRCh38,ENCFF741QVY,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ZNF614,HepG2
ENCSR011CKE,GRCh38,ENCFF795KRZ,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ZNF2,HEK293
ENCSR011INW,GRCh38,ENCFF486MHG,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,PRDM15,HepG2
ENCSR011NOZ,GRCh38,ENCFF255HEF,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ZNF407,K562
ENCSR011PEI,GRCh38,ENCFF192MEM,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ZNF175,K562
ENCSR011WGT,GRCh38,ENCFF009RFC,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,GABPB1,K562
ENCSR011XCI,GRCh38,ENCFF818FOD,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ZNF585B,HEK293
ENCSR013DKM,GRCh38,ENCFF468WZL,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ZNF530,HepG2
ENCSR013RNH,GRCh38,ENCFF372PXU,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,E2F2,HepG2
ENCSR014ARU,GRCh38,ENCFF121HYT,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ATF2,K562
ENCSR014HQD,GRCh38,ENCFF524CCS,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ZNF382,HepG2
ENCSR014RCS,GRCh38,ENCFF455OST,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,HNRNPK,K562
ENCSR015KAM,GRCh38,ENCFF505INE,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,DMTF1,K562
ENCSR015LYB,GRCh38,ENCFF642BLI,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,HIC2,HepG2
ENCSR015TKV,GRCh38,ENCFF022GRJ,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,BCLAF1,HepG2
ENCSR016OHL,GRCh38,ENCFF865WCB,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ZNF317,HepG2
ENCSR017CEO,GRCh38,ENCFF184PHK,bed narrowPeak,IDR thresholded peaks,"2, 3",ENCODE4,CUX1,MCF-7
ENCSR017EJY,GRCh38,ENCFF832DBU,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,DLX4,K562
ENCSR017GBO,GRCh38,ENCFF362JHQ,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,TFDP1,K562
ENCSR017QBI,GRCh38,ENCFF326MMO,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ZNF600,HEK293
ENCSR017XHZ,GRCh38,ENCFF497RWP,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ZNF707,HepG2
ENCSR018MSO,GRCh38,ENCFF283UWH,bed narrowPeak,IDR thresholded peaks,"3, 4",ENCODE4,ZNF148,K562
ENCSR019NPF,GRCh38,ENCFF347UBA,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,SP5,HepG2
ENCSR019WUS,GRCh38,ENCFF697RHJ,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ZNF10,HEK293
ENCSR020CLV,GRCh38,ENCFF903IZG,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ZNF891,HepG2
ENCSR020UPN,GRCh38,ENCFF199LLV,bed narrowPeak,IDR thresholded peaks,"2, 3",ENCODE4,ZNF184,HEK293
ENCSR021DJC,GRCh38,ENCFF972WFM,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,BCL11A,HEK293
ENCSR022IZK,GRCh38,ENCFF269NKC,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ZNF623,HEK293
ENCSR023IPQ,GRCh38,ENCFF728JNA,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,PRRX2,WTC11
ENCSR023KKB,GRCh38,ENCFF213KSD,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ESRRG,SK-N-SH
ENCSR023OOE,GRCh38,ENCFF049MDN,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ZNF764,K562
ENCSR024ZIS,GRCh38,ENCFF612MQA,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ZNF260,HepG2
ENCSR025EXJ,GRCh38,ENCFF827VMW,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,IRF5,HepG2
ENCSR026GSW,GRCh38,ENCFF603PUS,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,EGR1,HepG2
ENCSR026KKZ,GRCh38,ENCFF292HSS,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ZBTB17,K562
ENCSR026RAK,GRCh38,ENCFF559MTF,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,MXD1,K562
ENCSR027BEE,GRCh38,ENCFF371MSO,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,CDX4,WTC11
ENCSR028EGI,GRCh38,ENCFF577UYO,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ZNF26,HEK293
ENCSR028NUR,GRCh38,ENCFF566KDV,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ZNF592,MCF-7
ENCSR028WJI,GRCh38,ENCFF238XIA,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,TGIF2,K562
ENCSR029ARE,GRCh38,ENCFF906WDG,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ZNF773,HepG2
ENCSR029IBC,GRCh38,ENCFF074XQR,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ARNT,HepG2
ENCSR029OPK,GRCh38,ENCFF258HYD,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ESRRA,WTC11
ENCSR029TLS,GRCh38,ENCFF008QFJ,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ETV6,WTC11
ENCSR030TJP,GRCh38,ENCFF729DNM,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,DACH1,K562
ENCSR031ING,GRCh38,ENCFF376CUV,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,KDM6A,HepG2
ENCSR031URL,GRCh38,ENCFF844AMK,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,XRCC5,HepG2
ENCSR031WWM,GRCh38,ENCFF288BSV,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,TERF1,HepG2
ENCSR032DGZ,GRCh38,ENCFF716OVN,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ZNF281,WTC11
ENCSR032LZZ,GRCh38,ENCFF361PBY,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ZNF362,HepG2
ENCSR034GHQ,GRCh38,ENCFF099OSI,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,HMG20B,K562
ENCSR034IND,GRCh38,ENCFF641XDM,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ZNF232,WTC11
ENCSR036QIR,GRCh38,ENCFF710UAZ,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,E2F3,K562
ENCSR036THH,GRCh38,ENCFF947VJI,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,BACH2,SK-N-SH
ENCSR037LQB,GRCh38,ENCFF460DRP,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ZSCAN25,HepG2
ENCSR038DJJ,GRCh38,ENCFF120PGJ,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,SMAD1,K562
ENCSR038XIA,GRCh38,ENCFF896QHA,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ZNF444,MCF-7
ENCSR039CUX,GRCh38,ENCFF991XSG,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,PLSCR1,HepG2
ENCSR039IQA,GRCh38,ENCFF455PZT,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,BAZ2A,HepG2
ENCSR041AXL,GRCh38,ENCFF820GPR,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,RFX1,K562
ENCSR041QAZ,GRCh38,ENCFF417FFL,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,RNF219,K562
ENCSR041RCS,GRCh38,ENCFF360MIH,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,SOX13,HepG2
ENCSR041YBR,GRCh38,ENCFF021JCJ,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ZNF12,K562
ENCSR042BQZ,GRCh38,ENCFF339ZPY,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,SMAD9,HepG2
ENCSR042GSX,GRCh38,ENCFF464GFC,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,SPDEF,MCF-7
ENCSR043VRG,GRCh38,ENCFF748KIJ,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ZNF432,HepG2
ENCSR044FMM,GRCh38,ENCFF892TRD,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,SALL2,HEK293
ENCSR044IXA,GRCh38,ENCFF712NHB,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ZNF354B,K562
ENCSR044RZF,GRCh38,ENCFF404ASR,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,NR2E3,A549
ENCSR044UJJ,GRCh38,ENCFF250MUC,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ATF4,K562
ENCSR046DIG,GRCh38,ENCFF659PQJ,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,DDIT3,HepG2
ENCSR047BUZ,GRCh38,ENCFF994LMJ,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ATF2,HepG2
ENCSR048CVK,GRCh38,ENCFF280RQS,bed narrowPeak,IDR thresholded peaks,"2, 3",ENCODE4,JUN,A549
ENCSR048PPE,GRCh38,ENCFF989YRL,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,STAT6,WTC11
ENCSR048WVW,GRCh38,ENCFF236CPT,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ZNF367,HepG2
ENCSR050KWL,GRCh38,ENCFF904LYG,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ZSCAN22,HepG2
ENCSR051OUX,GRCh38,ENCFF972OBR,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,NFATC3,K562
ENCSR052FXA,GRCh38,ENCFF135VAJ,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ZNF33B,HepG2
ENCSR055FQB,GRCh38,ENCFF130OKL,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ZNF217,HepG2
ENCSR055ZIA,GRCh38,ENCFF259PTV,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ZNF570,HepG2
ENCSR056SXR,GRCh38,ENCFF302AZX,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,MYPOP,HepG2
ENCSR056VMR,GRCh38,ENCFF567CPM,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,FOXJ3,K562
